Key,english
challengeKillZombiesDesc,"[DECEA3]Zombies[-] are the primary threat to your survival.\n\n[cd853f]Rotten[-] zombies are weaker than\n[DECEA3]Normal[-] zombies, which walk during the day but move faster at night.\n[FF6666]Feral[-] zombies have glowing orange eyes, run during the day, hit harder, and take more damage.\n[00FF00]Radiated[-] zombies regenerate their health and deal severe damage, making them a stubborn threat until eliminated.\n[efcc00]Cowboy[-] zombies are found in the desert biome. They will dehydrate you each time the hit you.\n[c0c0c0]Frozen[-] zombies are found in the snow biome. They're slower and more brittle than normal zombies, but will chill & slow you if they hit you.\n[ffff00]Mutated[-] zombies and [ff0000]Mutants[-] are found in the wasteland biome, and will appear more in the world as you progress. Do not underestimate them - they will regenerate health much faster than [00FF00]Radiated[-] zombies, and are incredibly resilient."
challengeMeetBobDesc,"[DECEA3]Bob's Salvage[-] in the [DECEA3]Burnt Forest[-] is home to scrapped vehicles, broken appliances, and local gear-head [DECEA3]Trader Bob[-]. If you're in the market for [DECEA3]Vehicles[-] and [DECEA3]Tools[-] he's the man to talk to."
challengeMeetJenDesc,You can find [DECEA3]Trader Jen[-] in the makeshift hospital at [DECEA3]Jen's Clinic[-] in the [DECEA3]Desert[-]. She is much friendlier than [DECEA3]Trader Rekt[-] and deals mostly in [DECEA3]Medical[-] supplies.
idcXuiModifiers,MODIFIERS
idcXuiAnimalSnare,Output
ctnChickenCoop,Chicken coop
ctnChickenCoopDesc,Produces eggs. Needs a chicken.\n\nCan be crafted with any [FF4500]repair tool[-] in your [008000]inventory[-].
fuelChicken,Chicken
fuelChickenDesc,"Use this chicken to produce eggs in a chicken coop.\n\nCan also be butchered for meat, bones & feathers\n with a hunting knife in your inventory/toolbelt."
cntAdvancedDewCollector,Dew Collector
cntRainCollector,Rain Collector
advancedDewCollectorDesc,Collects dew over time for clean drinking water.\n\nRepair with Scrap Polymers.\nCan be upgraded by placing tools into the appropriate slots.\n\nRequires a water filter to work.
RainCollectorDesc,Collects rainwater in buckets.\n\nRepair with scrap polymer.\n\nRequires an empty bucket to work.
xuiAdvancedDewCollector,Dew Collector
xuiRainCollector," "
adcMineralInfuser,Mineral Infuser
adcAdvancedFilter,Advanced Water Filter
adcLargeCatcher,Large Water Catcher
adcBigBarrel,Large Water Barrel
adcBigBarrelDesc,It's a water barrel but bigger. Do I really need to explain further?\n\nIncreases capacity to 9 slots.
adcAdvancedFilterDesc,An even better water filter. Makes use of highly complicated purification techniques.\n\nConverts murky water into drinkable water.
adcMineralInfuserDesc,State of the art mineral infusing technology. Takes boring water and infuses it with your daily intake of vitamins and minerals (at least that's what the package says).\n\nProduces enhanced water instead of regular water.
adcLargeCatcherDesc,It's a large tarp. It collects more water than a smaller one.\n\nWill increase water collection x3
adcEnhancedWater,Infused Water
adcEnhancedWaterDesc,While not as powerful as mineral water its still better than regular water.
adcXuiModifiers,MODIFIERS
idcXuiAnimalSnare,Contents
idcXuiBait,Animal Feed
bedrollTip,When you place a Bedroll you will see a Bed Icon on your compass and map. This will lead you back to your home and will act as a respawn point if you die.\nYou can only have one bedroll active and your last placed bedroll is your active bedroll. Placing a new bed or picking up the last placed bed will permanently clear all previous respawn points.\n\nA placed and active bedroll will prevent enemy respawn in the area. The size of this area is shown while you place a bedroll.\n\nReceive a [008000 ]Well Rested[-] buff by standing on it while [ff4500]inside[-] and next to a [ff4500]campfire[-].
cntIDCAnimalSnare,Chicken trap
